Player,avg_gi,avg_gpl,avg_acpl,total_game_count,Points,gi_median,gpl_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,gpl_std,acpl_std,avg_gi_raw,avg_gpl_white,avg_gpl_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_gpl_sum,gi_var,gi_raw_median,gi_raw_var,gi_raw_std,gpl_var,acpl_var
Rokas Klabis,148.08,0.67,10.25,5.0,3.5,159.1,0.58,2399.0,2624.0,229.0,3.0,2.0,11.07,16.24,0.74,5.76,-0.51,0.87,0.38,147.6,148.8,2.5,1.0,3.37,263.74,0.08,0.77,0.88,0.54,33.23
Tomas Laurusas,147.92,0.86,81.66,5.0,3.0,151.2,1.1,2573.0,2619.0,251.0,3.0,2.0,26.18,13.44,0.53,99.74,-0.52,0.72,1.08,143.57,154.45,1.0,2.0,4.32,180.52,-0.35,0.53,0.73,0.28,9948.44
Dmitry Andreikin,147.69,0.7,34.89,7.0,3.0,145.7,0.75,2729.0,2595.0,316.0,4.0,3.0,10.99,14.77,0.55,65.86,-0.54,0.55,0.91,153.68,139.7,2.5,0.5,4.93,218.03,-0.64,0.63,0.79,0.3,4336.9
Kaan Kucuksari,147.65,0.62,18.33,2.0,0.5,147.65,0.62,2460.0,2439.0,112.0,0.0,2.0,18.33,10.11,0.02,17.73,-0.54,,0.62,,147.65,0.0,0.5,1.23,102.25,-0.54,0.3,0.54,0.0,314.5
Tom Wedberg,147.6,0.53,10.0,1.0,0.0,147.6,0.53,2375.0,2606.0,34.0,1.0,0.0,10.0,0.0,0.0,0.0,-0.54,0.53,,147.6,,0.0,0.0,0.53,0.0,-0.54,0.0,0.0,0.0,0.0
Velimir Ivic,147.47,0.66,8.51,3.0,1.0,142.2,0.6,2610.0,2402.0,172.0,1.0,2.0,6.58,9.3,0.26,4.66,-0.54,0.6,0.68,142.2,150.1,0.0,1.0,1.97,86.41,-0.83,0.26,0.51,0.07,21.67
Vincent Keymer,147.44,1.09,8.45,7.0,5.5,147.6,0.91,2721.0,2846.0,419.0,5.0,2.0,8.39,19.38,0.96,4.22,-0.55,0.65,2.18,155.58,127.1,4.0,1.5,7.63,375.7,-0.54,1.09,1.05,0.91,17.85
Yonathan Uritsky,147.03,0.71,15.89,3.0,1.5,159.0,0.65,2307.0,2547.0,125.0,1.0,2.0,16.33,22.04,0.68,11.99,-0.57,0.06,1.03,160.5,140.3,0.5,1.0,2.13,485.7,0.08,1.42,1.19,0.47,143.78
Christian Bauer,146.9,0.78,16.2,6.0,3.5,147.25,0.72,2557.0,2453.0,261.0,3.0,3.0,15.54,10.51,0.45,6.54,-0.58,0.51,1.06,150.87,142.93,1.5,2.0,4.7,110.56,-0.56,0.32,0.57,0.21,42.83
Tamas Banusz,146.84,0.59,13.9,5.0,2.5,158.3,0.46,2591.0,2432.0,199.0,3.0,2.0,15.74,21.33,0.51,8.58,-0.58,0.53,0.7,153.07,137.5,2.0,0.5,2.97,455.0,0.04,1.32,1.15,0.26,73.67
Alexandr Predke,146.83,0.63,14.66,6.0,3.0,152.3,0.6,2677.0,2554.0,232.0,2.0,4.0,10.5,16.66,0.45,9.68,-0.58,0.65,0.62,143.85,148.32,1.0,2.0,3.77,277.42,-0.29,0.81,0.9,0.2,93.72
Peter Prohaszka,146.6,0.62,10.33,6.0,3.5,158.8,0.38,2548.0,2490.0,262.0,2.0,4.0,9.56,22.32,0.73,8.43,-0.59,0.09,0.89,161.55,139.12,1.5,2.0,3.75,498.39,0.06,1.45,1.2,0.54,70.99
Jorden Van Foreest,146.6,0.82,62.2,6.0,4.0,157.9,0.7,2697.0,2618.0,255.0,3.0,3.0,14.6,24.52,0.79,117.48,-0.59,0.49,1.15,153.77,139.43,2.0,2.0,4.93,601.16,0.02,1.75,1.32,0.63,13801.12
Ognjen Cvitan,146.55,0.62,17.05,2.0,0.5,146.55,0.62,2410.0,2336.0,59.0,0.0,2.0,17.05,11.24,0.03,10.07,-0.6,,0.62,,146.55,0.0,0.5,1.24,126.41,-0.6,0.36,0.6,0.0,101.39
Luuk Baselmans,146.4,0.96,10.38,1.0,0.5,146.4,0.96,2335.0,2688.0,52.0,1.0,0.0,10.38,0.0,0.0,0.0,-0.6,0.96,,146.4,,0.5,0.0,0.96,0.0,-0.6,0.0,0.0,0.0,0.0
Suat Atalik,146.07,0.88,14.21,3.0,1.5,146.4,0.75,2412.0,2458.0,178.0,1.0,2.0,10.47,9.9,0.4,8.52,-0.62,1.32,0.66,146.4,145.9,1.0,0.5,2.63,98.09,-0.6,0.28,0.53,0.16,72.59
Svyatoslav Bazakutsa,145.8,0.88,7.48,2.0,1.0,145.8,0.88,2483.0,2504.0,108.0,2.0,0.0,7.48,10.61,0.35,3.25,-0.64,0.88,,145.8,,1.0,0.0,1.76,112.5,-0.64,0.33,0.57,0.12,10.53
Aydin Suleymanli,145.79,0.81,9.77,7.0,4.0,157.6,0.61,2637.0,2570.0,378.0,4.0,3.0,6.36,27.24,0.91,7.22,-0.64,0.45,1.29,154.2,134.57,1.5,2.5,5.68,741.8,0.0,2.15,1.47,0.83,52.12
Aryan Chopra,145.47,0.91,30.75,7.0,5.0,144.6,1.11,2620.0,2676.0,318.0,3.0,4.0,18.97,19.38,0.71,43.0,-0.65,1.57,0.42,134.13,153.98,2.0,3.0,6.39,375.7,-0.7,1.09,1.04,0.51,1849.25
Dorian Jaeggi,145.35,0.6,9.24,2.0,1.0,145.35,0.6,2313.0,2352.0,77.0,2.0,0.0,9.24,20.44,0.92,7.86,-0.66,0.6,,145.35,,1.0,0.0,1.2,417.6,-0.66,1.22,1.1,0.85,61.83
Eytan Rozen,145.28,0.86,26.51,5.0,3.0,158.1,0.7,2478.0,2565.0,226.0,3.0,2.0,7.39,22.67,0.78,39.11,-0.66,0.37,1.59,160.23,122.85,2.0,1.0,4.3,513.99,0.03,1.49,1.22,0.6,1529.65
Egons Lavendelis,145.2,0.94,6.75,1.0,0.5,145.2,0.94,2280.0,2610.0,76.0,1.0,0.0,6.75,0.0,0.0,0.0,-0.67,0.94,,145.2,,0.5,0.0,0.94,0.0,-0.67,0.0,0.0,0.0,0.0
Robert Ris,144.8,0.57,19.09,1.0,0.0,144.8,0.57,2438.0,2538.0,35.0,0.0,1.0,19.09,0.0,0.0,0.0,-0.69,,0.57,,144.8,0.0,0.0,0.57,0.0,-0.69,0.0,0.0,0.0,0.0
Bence Korpa,144.78,0.62,101.31,5.0,3.5,157.8,0.29,2550.0,2384.0,201.0,2.0,3.0,13.24,20.02,0.59,192.91,-0.69,0.74,0.54,136.55,150.27,1.0,2.5,3.1,400.69,0.01,1.17,1.08,0.35,37212.79
Mauricio Vassallo Barroche,144.4,0.91,8.73,1.0,0.5,144.4,0.91,2342.0,2476.0,41.0,0.0,1.0,8.73,0.0,0.0,0.0,-0.71,,0.91,,144.4,0.0,0.5,0.91,0.0,-0.71,0.0,0.0,0.0,0.0
Patrik Stevik,144.2,0.64,15.18,5.0,1.5,143.7,0.51,2268.0,2281.0,204.0,2.0,3.0,14.43,9.79,0.48,11.47,-0.72,0.72,0.58,142.65,145.23,0.5,1.0,3.2,95.76,-0.75,0.28,0.53,0.23,131.49
Gukesh D,144.09,0.87,11.24,7.0,4.0,161.2,0.17,2794.0,2658.0,339.0,4.0,3.0,8.68,24.14,1.04,8.17,-0.73,1.18,0.47,138.28,151.83,2.5,1.5,6.12,582.61,0.19,1.69,1.3,1.08,66.81
Erik Blomqvist,144.03,0.72,19.06,3.0,1.0,138.2,0.73,2483.0,2429.0,148.0,2.0,1.0,22.34,13.9,0.13,8.23,-0.73,0.79,0.59,146.95,138.2,1.0,0.0,2.17,193.22,-1.04,0.56,0.75,0.02,67.67
Anton Korobov,144.01,0.71,40.62,7.0,3.5,153.1,0.67,2660.0,2474.0,332.0,2.0,5.0,16.87,23.35,0.67,64.77,-0.73,1.08,0.56,127.5,150.62,1.0,2.5,4.97,545.26,-0.24,1.58,1.26,0.45,4194.71
Ido Gorshtein,144.0,0.89,10.99,5.0,2.5,143.9,0.94,2527.0,2572.0,203.0,3.0,2.0,9.82,17.37,0.59,4.83,-0.73,0.94,0.82,146.13,140.8,2.0,0.5,4.47,301.59,-0.74,0.88,0.94,0.35,23.29
Asaf Givon,144.0,0.92,28.13,5.0,3.0,139.2,1.02,2422.0,2361.0,209.0,2.0,3.0,29.86,11.79,0.32,16.32,-0.73,0.95,0.9,143.65,144.23,1.5,1.5,4.61,139.12,-0.99,0.41,0.64,0.11,266.24
Ari Guz,144.0,0.91,14.98,1.0,0.5,144.0,0.91,2316.0,2433.0,44.0,0.0,1.0,14.98,0.0,0.0,0.0,-0.73,,0.91,,144.0,0.0,0.5,0.91,0.0,-0.73,0.0,0.0,0.0,0.0
Marcell Borhy,143.87,0.77,24.17,3.0,1.0,140.5,0.66,2355.0,2374.0,110.0,1.0,2.0,24.12,8.47,0.23,15.14,-0.74,1.04,0.64,140.5,145.55,0.5,0.5,2.32,71.7,-0.92,0.21,0.45,0.05,229.22
Aleksandar Indjic,143.86,0.97,11.61,5.0,4.0,158.4,0.35,2620.0,2750.0,234.0,2.0,3.0,13.32,27.49,1.15,7.48,-0.74,0.2,1.49,161.5,132.1,1.5,2.5,4.87,755.63,0.05,2.2,1.48,1.33,55.92
Nijat Abasov,143.83,0.84,10.58,7.0,5.0,159.0,0.58,2619.0,2584.0,415.0,5.0,2.0,11.4,25.57,0.91,5.46,-0.74,1.01,0.39,137.72,159.1,3.0,2.0,5.85,653.73,0.08,1.9,1.38,0.82,29.81
Jozef Federic,143.6,0.55,20.16,1.0,0.0,143.6,0.55,2199.0,2477.0,49.0,1.0,0.0,20.16,0.0,0.0,0.0,-0.75,0.55,,143.6,,0.0,0.0,0.55,0.0,-0.75,0.0,0.0,0.0,0.0
Slobodan J Filipovic,143.5,0.56,26.42,1.0,0.0,143.5,0.56,2233.0,2477.0,26.0,1.0,0.0,26.42,0.0,0.0,0.0,-0.76,0.56,,143.5,,0.0,0.0,0.56,0.0,-0.76,0.0,0.0,0.0,0.0
Vugar Manafov,143.48,0.68,64.9,4.0,2.5,149.1,0.65,2437.0,2250.0,138.0,2.0,2.0,22.43,19.56,0.75,99.29,-0.76,0.65,0.7,137.4,149.55,1.0,1.5,2.71,382.46,-0.46,1.11,1.05,0.56,9858.17
Volodar Murzin,143.43,0.97,9.7,7.0,5.0,158.1,0.74,2648.0,2679.0,391.0,3.0,4.0,8.67,27.12,0.89,7.72,-0.76,0.68,1.18,153.63,135.78,2.5,2.5,6.77,735.76,0.03,2.14,1.46,0.79,59.58
Jasper Beukema,143.3,0.63,20.45,1.0,0.0,143.3,0.63,2368.0,2530.0,47.0,0.0,1.0,20.45,0.0,0.0,0.0,-0.77,,0.63,,143.3,0.0,0.0,0.63,0.0,-0.77,0.0,0.0,0.0,0.0
Nikolaos Koutlas,143.2,0.48,468.0,1.0,0.0,143.2,0.48,2349.0,2354.0,42.0,0.0,1.0,468.0,0.0,0.0,0.0,-0.77,,0.48,,143.2,0.0,0.0,0.48,0.0,-0.77,0.0,0.0,0.0,0.0
Yi Wei,143.17,0.99,20.54,7.0,4.0,154.4,0.78,2763.0,2630.0,379.0,4.0,3.0,13.92,23.6,1.02,79.32,-0.78,1.14,0.8,144.72,141.1,3.0,1.0,6.93,557.16,-0.17,1.62,1.27,1.03,6291.11
Simon Thorhallsson,143.1,0.53,22.21,1.0,0.0,143.1,0.53,2164.0,2435.0,28.0,0.0,1.0,22.21,0.0,0.0,0.0,-0.78,,0.53,,143.1,0.0,0.0,0.53,0.0,-0.78,0.0,0.0,0.0,0.0
Ihor Samunenkov,143.08,0.73,15.13,5.0,2.0,138.3,0.81,2533.0,2440.0,228.0,3.0,2.0,10.2,19.82,0.69,16.88,-0.78,1.19,0.04,129.97,162.75,0.5,1.5,3.64,392.86,-1.04,1.14,1.07,0.47,285.08
Hampus Sorensen,143.03,0.53,15.92,3.0,0.5,143.2,0.43,2423.0,2225.0,160.0,2.0,1.0,19.71,17.75,0.43,12.0,-0.78,0.58,0.43,142.95,143.2,0.5,0.0,1.6,315.08,-0.77,0.92,0.96,0.19,143.93
Avital Boruchovsky,143.02,0.7,51.45,5.0,2.0,142.8,0.95,2537.0,2462.0,254.0,2.0,3.0,8.8,18.46,0.58,94.88,-0.79,0.08,1.1,161.45,130.73,1.5,0.5,3.48,340.64,-0.8,0.99,1.0,0.34,9003.02
Evgeny Zanan,143.0,0.68,60.16,7.0,3.0,143.0,0.73,2476.0,2332.0,341.0,4.0,3.0,12.36,15.34,0.38,81.74,-0.79,0.74,0.62,138.45,149.07,1.5,1.5,4.79,235.35,-0.79,0.68,0.83,0.14,6681.7
Or Bronstein,142.87,0.76,20.55,6.0,3.5,153.0,0.65,2439.0,2434.0,234.0,3.0,3.0,14.95,26.21,0.72,18.64,-0.8,0.66,0.87,155.9,129.83,3.0,0.5,4.58,687.2,-0.25,2.0,1.41,0.52,347.56
Laurence E Webb,142.3,0.55,156.14,1.0,0.0,142.3,0.55,2195.0,2418.0,65.0,0.0,1.0,156.14,0.0,0.0,0.0,-0.82,,0.55,,142.3,0.0,0.0,0.55,0.0,-0.82,0.0,0.0,0.0,0.0
Sam Baselmans,142.3,0.6,26.12,1.0,0.0,142.3,0.6,2256.0,2472.0,43.0,1.0,0.0,26.12,0.0,0.0,0.0,-0.83,0.6,,142.3,,0.0,0.0,0.6,0.0,-0.83,0.0,0.0,0.0,0.0
Nikola Nikolovski,142.1,1.59,15.52,1.0,1.0,142.1,1.59,2388.0,2839.0,63.0,1.0,0.0,15.52,0.0,0.0,0.0,-0.83,1.59,,142.1,,1.0,0.0,1.59,0.0,-0.83,0.0,0.0,0.0,0.0
Valeriu Mindru,142.0,0.48,73.53,2.0,0.0,142.0,0.48,1867.0,2111.0,52.0,1.0,1.0,73.53,1.27,0.0,51.13,-0.84,0.48,0.48,142.9,141.1,0.0,0.0,0.96,1.62,-0.84,0.0,0.07,0.0,2614.37
Tomas Kraus,141.7,1.0,17.78,4.0,2.0,138.95,1.08,2461.0,2367.0,185.0,2.0,2.0,15.84,9.63,0.27,8.24,-0.86,0.84,1.16,148.65,134.75,1.0,1.0,4.0,92.74,-1.0,0.27,0.52,0.07,67.89
Bjorn Holm Birkisson,141.7,0.49,23.0,1.0,0.0,141.7,0.49,2202.0,2285.0,34.0,0.0,1.0,23.0,0.0,0.0,0.0,-0.86,,0.49,,141.7,0.0,0.0,0.49,0.0,-0.86,0.0,0.0,0.0,0.0
Peter Jancovic,141.65,0.59,16.98,2.0,0.5,141.65,0.59,2311.0,2326.0,65.0,1.0,1.0,16.98,26.38,0.71,13.9,-0.86,0.09,1.09,160.3,123.0,0.5,0.0,1.18,695.65,-0.86,2.02,1.42,0.5,193.26
Aleksi Wallin,141.5,0.57,314.02,1.0,0.0,141.5,0.57,2181.0,2413.0,56.0,0.0,1.0,314.02,0.0,0.0,0.0,-0.87,,0.57,,141.5,0.0,0.0,0.57,0.0,-0.87,0.0,0.0,0.0,0.0
Imre Balog,141.49,0.92,12.17,7.0,4.5,157.9,0.41,2626.0,2501.0,293.0,4.0,3.0,8.1,32.97,1.25,7.0,-0.87,0.55,1.42,154.88,123.63,3.0,1.5,6.44,1086.87,0.02,3.16,1.78,1.55,49.04
Drazen Dragicevic,141.45,0.69,161.72,2.0,0.5,141.45,0.69,2316.0,2363.0,86.0,0.0,2.0,161.72,25.39,0.58,221.8,-0.87,,0.69,,141.45,0.0,0.5,1.38,644.41,-0.87,1.88,1.37,0.34,49194.43
Bardur Orn Birkisson,141.4,0.52,51.32,1.0,0.0,141.4,0.52,2272.0,2328.0,19.0,1.0,0.0,51.32,0.0,0.0,0.0,-0.87,0.52,,141.4,,0.0,0.0,0.52,0.0,-0.87,0.0,0.0,0.0,0.0
Andrew J Ledger,141.4,0.65,37.35,1.0,0.0,141.4,0.65,2337.0,2486.0,31.0,1.0,0.0,37.35,0.0,0.0,0.0,-0.87,0.65,,141.4,,0.0,0.0,0.65,0.0,-0.87,0.0,0.0,0.0,0.0
Matthew J Wadsworth,141.4,0.54,76.04,2.0,0.0,141.4,0.54,2473.0,2221.0,114.0,0.0,2.0,76.04,3.82,0.13,87.12,-0.87,,0.54,,141.4,0.0,0.0,1.07,14.58,-0.87,0.05,0.21,0.02,7590.35
Oskar Bjarnason,141.2,0.57,447.22,1.0,0.0,141.2,0.57,2115.0,2398.0,23.0,1.0,0.0,447.22,0.0,0.0,0.0,-0.88,0.57,,141.2,,0.0,0.0,0.57,0.0,-0.88,0.0,0.0,0.0,0.0
Uku Valner,141.0,0.6,35.09,1.0,0.0,141.0,0.6,2290.0,2429.0,33.0,1.0,0.0,35.09,0.0,0.0,0.0,-0.89,0.6,,141.0,,0.0,0.0,0.6,0.0,-0.89,0.0,0.0,0.0,0.0
Lara Schulze,140.93,0.72,16.41,4.0,1.0,144.85,0.62,2275.0,2190.0,181.0,1.0,3.0,16.32,18.3,0.4,10.46,-0.9,0.35,0.84,157.8,135.3,0.5,0.5,2.87,335.01,-0.68,0.97,0.99,0.16,109.43
Ante Brkic,140.8,0.88,13.2,6.0,3.0,144.65,0.73,2626.0,2481.0,246.0,3.0,3.0,11.3,22.03,0.71,7.32,-0.91,1.34,0.41,129.07,152.53,1.5,1.5,5.26,485.3,-0.7,1.41,1.19,0.51,53.63
Read Samadov,140.65,0.73,59.5,6.0,3.0,148.15,0.65,2497.0,2382.0,272.0,2.0,4.0,20.64,22.62,0.61,95.44,-0.91,0.4,0.89,158.2,131.88,2.0,1.0,4.36,511.84,-0.5,1.49,1.22,0.37,9108.98
Jonah B Willow,140.65,0.79,19.24,2.0,0.5,140.65,0.79,2420.0,2311.0,87.0,2.0,0.0,19.24,5.3,0.51,1.96,-0.92,0.79,,140.65,,0.5,0.0,1.58,28.12,-0.92,0.08,0.29,0.26,3.84
Guy Levin,140.57,1.01,17.8,3.0,1.0,133.5,1.31,2435.0,2538.0,154.0,1.0,2.0,11.61,18.44,0.78,17.58,-0.92,1.31,0.86,133.5,144.1,0.5,0.5,3.02,340.21,-1.3,0.99,1.0,0.61,309.13
Pal Morten Andreassen,140.4,0.54,37.62,1.0,0.0,140.4,0.54,2061.0,2299.0,26.0,1.0,0.0,37.62,0.0,0.0,0.0,-0.93,0.54,,140.4,,0.0,0.0,0.54,0.0,-0.93,0.0,0.0,0.0,0.0
Helmut Froeyman,140.4,0.66,35.0,1.0,0.0,140.4,0.66,2266.0,2459.0,27.0,0.0,1.0,35.0,0.0,0.0,0.0,-0.92,,0.66,,140.4,0.0,0.0,0.66,0.0,-0.92,0.0,0.0,0.0,0.0
Vugar Asadli,140.33,1.04,15.34,7.0,3.5,146.8,1.27,2553.0,2501.0,313.0,3.0,4.0,9.53,20.3,0.79,9.41,-0.93,0.27,1.61,158.43,126.75,2.0,1.5,7.25,412.13,-0.58,1.19,1.09,0.63,88.57
Filip Magold,140.23,1.17,13.11,7.0,5.0,144.2,1.1,2409.0,2474.0,391.0,4.0,3.0,13.86,15.26,0.57,7.32,-0.94,0.97,1.44,145.25,133.53,3.0,2.0,8.22,232.92,-0.72,0.68,0.82,0.33,53.53
Miklos Nemeth,140.23,0.91,78.59,3.0,1.0,141.1,0.95,2431.0,2405.0,160.0,1.0,2.0,8.95,4.07,0.12,121.52,-0.94,0.95,0.88,143.8,138.45,0.5,0.5,2.72,16.56,-0.89,0.05,0.22,0.01,14767.55
Kevin C McCarthy,140.1,0.54,22.64,1.0,0.0,140.1,0.54,1980.0,2269.0,50.0,1.0,0.0,22.64,0.0,0.0,0.0,-0.94,0.54,,140.1,,0.0,0.0,0.54,0.0,-0.94,0.0,0.0,0.0,0.0
Michiel Bosman,140.1,0.68,217.72,1.0,0.0,140.1,0.68,2341.0,2469.0,43.0,0.0,1.0,217.72,0.0,0.0,0.0,-0.94,,0.68,,140.1,0.0,0.0,0.68,0.0,-0.94,0.0,0.0,0.0,0.0
Peter Martiska,140.1,0.64,25.59,1.0,0.0,140.1,0.64,2179.0,2429.0,29.0,1.0,0.0,25.59,0.0,0.0,0.0,-0.94,0.64,,140.1,,0.0,0.0,0.64,0.0,-0.94,0.0,0.0,0.0,0.0
Bart Audenaert,139.8,0.55,52.2,1.0,0.0,139.8,0.55,1987.0,2269.0,20.0,0.0,1.0,52.2,0.0,0.0,0.0,-0.96,,0.55,,139.8,0.0,0.0,0.55,0.0,-0.96,0.0,0.0,0.0,0.0
Richard A Bates,139.8,0.65,19.62,1.0,0.0,139.8,0.65,2319.0,2435.0,42.0,1.0,0.0,19.62,0.0,0.0,0.0,-0.96,0.65,,139.8,,0.0,0.0,0.65,0.0,-0.96,0.0,0.0,0.0,0.0
